"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-16",,,,,,,,"19","24","15",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-17",,,,,,,,"18","23","12",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-18",,,,,,,,"20","27","16",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-19",,,,,,,,"12","21","4",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-20",,,,,,,,"9","13","5",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-21",,,,,,,,"11","18","3",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-22",,,,,,,,"22","33","2",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-23",,,,,,,,"29","34","20",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-24",,,,,,,,"30","38","19",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-25",,,,,,,,"34","37","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-26",,,,,,,,"35","39","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-27",,,,,,,,"33","36","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-28",,,,,,,,"33","38","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-29",,,,,,,,"29","31","27",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-30",,,,,,,,"26","29","24",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-01-31",,,,,,,,"32","36","27",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-01",,,,,,,,"36","37","34",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-02",,,,,,,,"30","34","25",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-03",,,,,,,,"24","28","18",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-04",,,,,,,,"24","37","15",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-05",,,,,,,,"23","31","17",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-06",,,,,,,,"24","33","14",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-07",,,,,,,,"28","37","16",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-08",,,,,,,,"36","49","24",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-09",,,,,,,,"46","52","38",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-10",,,,,,,,"47","56","40",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-11",,,,,,,,"38","43","34",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-12",,,,,,,,"33","35","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-13",,,,,,,,"32","38","28",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-14",,,,,,,,"21","25","14",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-15",,,,,,,,"24","32","11",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-16",,,,,,,,"25","29","20",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-17",,,,,,,,"20","30","8",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-18",,,,,,,,"22","33","4",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-19",,,,,,,,"18","26","6",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-20",,,,,,,,"16","29","4",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-21",,,,,,,,"30","43","11",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-22",,,,,,,,"35","39","32",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-23",,,,,,,,"40","48","29",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-24",,,,,,,,"15","25","8",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-25",,,,,,,,"24","35","8",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-26",,,,,,,,"36","46","27",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-27",,,,,,,,"49","64","26",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-28",,,,,,,,"51","59","30",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-02-29",,,,,,,,"18","25","14",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-01",,,,,,,,"28","40","10",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-02",,,,,,,,"40","44","37",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-03",,,,,,,,"41","48","37",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-04",,,,,,,,"48","58","39",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-05",,,,,,,,"47","55","41",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-06",,,,,,,,"44","47","38",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-07",,,,,,,,"38","47","29",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-08",,,,,,,,"35","48","24",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-09",,,,,,,,"40","46","35",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-10",,,,,,,,"33","38","26",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-11",,,,,,,,"31","38","24",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-12",,,,,,,,"38","48","27",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-13",,,,,,,,"40","55","25",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-14",,,,,,,,"44","58","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-15",,,,,,,,"41","48","32",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-16",,,,,,,,"41","50","33",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-17",,,,,,,,"43","48","37",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-18",,,,,,,,"36","40","30",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-19",,,,,,,,"33","37","26",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-20",,,,,,,,"33","43","25",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-21",,,,,,,,"23","28","19",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-22",,,,,,,,"24","31","15",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-23",,,,,,,,"24","31","20",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-24",,,,,,,,"26","39","11",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-25",,,,,,,,"35","50","16",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-26",,,,,,,,"44","59","28",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-27",,,,,,,,"45","52","40",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-28",,,,,,,,"43","48","35",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-29",,,,,,,,"40","49","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-30",,,,,,,,"38","48","30",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-03-31",,,,,,,,"40","52","30",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-01",,,,,,,,"42","59","31",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-02",,,,,,,,"43","56","27",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-03",,,,,,,,"41","48","33",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-04",,,,,,,,"33","36","32",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-05",,,,,,,,"35","40","32",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-06",,,,,,,,"38","43","33",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-07",,,,,,,,"40","53","29",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-08",,,,,,,,"47","65","30",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-09",,,,,,,,"53","71","36",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-10",,,,,,,,"52","63","47",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-11",,,,,,,,"52","56","46",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-12",,,,,,,,"60","73","51",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-13",,,,,,,,"46","51","38",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-14",,,,,,,,"45","56","34",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-15",,,,,,,,"47","58","40",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-16",,,,,,,,"48","61","36",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-17",,,,,,,,"43","54","29",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-18",,,,,,,,"45","49","40",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-19",,,,,,,,"51","57","43",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-20",,,,,,,,"48","58","38",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-21",,,,,,,,"43","49","33",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-22",,,,,,,,"40","51","32",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-23",,,,,,,,"55","70","32",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-24",,,,,,,,"42","55","28",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-25",,,,,,,,"37","50","24",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-26",,,,,,,,"45","60","28",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-27",,,,,,,,"54","68","33",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-28",,,,,,,,"57","66","48",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-29",,,,,,,,"48","54","43",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-04-30",,,,,,,,"50","60","43",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-01",,,,,,,,"53","64","43",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-02",,,,,,,,"58","71","50",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-03",,,,,,,,"61","72","50",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-04",,,,,,,,"64","73","56",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-05",,,,,,,,"52","55","49",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-06",,,,,,,,"61","76","52",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-07",,,,,,,,"59","74","44",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-08",,,,,,,,"53","67","47",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-09",,,,,,,,"53","63","45",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-10",,,,,,,,"53","62","44",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-11",,,,,,,,"56","65","45",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-12",,,,,,,,"53","59","48",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-13",,,,,,,,"60","70","46",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-14",,,,,,,,"64","77","55",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-15",,,,,,,,"63","72","57",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-16",,,,,,,,"65","74","57",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-17",,,,,,,,"68","82","54",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-18",,,,,,,,"66","76","56",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-19",,,,,,,,"68","83","54",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-20",,,,,,,,"72","87","56",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-21",,,,,,,,"71","85","59",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-22",,,,,,,,"78","91","64",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-23",,,,,,,,"73","83","58",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-24",,,,,,,,"63","76","48",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-25",,,,,,,,"61","78","44",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-26",,,,,,,,"69","82","56",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-27",,,,,,,,"68","76","63",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-28",,,,,,,,"66","75","59",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-29",,,,,,,,"59","69","46",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-30",,,,,,,,"57","71","43",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-05-31",,,,,,,,"61","76","44",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-01",,,,,,,,"67","85","48",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-02",,,,,,,,"69","87","52",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-03",,,,,,,,"72","87","55",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-04",,,,,,,,"75","91","57",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-05",,,,,,,,"75","89","64",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-06",,,,,,,,"72","83","60",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-07",,,,,,,,"66","81","58",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-08",,,,,,,,"63","69","58",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-09",,,,,,,,"61","70","56",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-10",,,,,,,,"58","62","55",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-11",,,,,,,,"60","70","52",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-12",,,,,,,,"64","75","51",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-13",,,,,,,,"71","82","53",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-14",,,,,,,,"72","83","61",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-15",,,,,,,,"60","70","47",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-16",,,,,,,,"63","75","44",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-17",,,,,,,,"74","87","60",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-18",,,,,,,,"83","94","70",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-19",,,,,,,,"84","93","74",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-20",,,,,,,,"78","93","70",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-21",,,,,,,,"72","79","68",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-22",,,,,,,,"68","72","66",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-23",,,,,,,,"73","81","66",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-24",,,,,,,,"65","69","59",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-25",,,,,,,,"72","88","56",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-26",,,,,,,,"73","85","63",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-27",,,,,,,,"64","73","51",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-28",,,,,,,,"63","78","45",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-29",,,,,,,,"66","71","61",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-06-30",,,,,,,,"75","87","65",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-01",,,,,,,,"68","79","57",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-02",,,,,,,,"71","87","53",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-03",,,,,,,,"75","85","59",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-04",,,,,,,,"78","91","65",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-05",,,,,,,,"79","91","70",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-06",,,,,,,,"77","88","69",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-07",,,,,,,,"77","89","66",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-08",,,,,,,,"78","91","65",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-09",,,,,,,,"78","90","66",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-10",,,,,,,,"73","79","69",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-11",,,,,,,,"72","84","68",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-12",,,,,,,,"75","84","68",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-13",,,,,,,,"76","87","68",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-14",,,,,,,,"76","88","64",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-15",,,,,,,,"79","94","68",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-16",,,,,,,,"76","89","69",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-17",,,,,,,,"74","83","67",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-18",,,,,,,,"71","81","58",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-19",,,,,,,,"70","83","57",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-20",,,,,,,,"73","86","57",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-21",,,,,,,,"70","80","59",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-22",,,,,,,,"73","87","56",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-23",,,,,,,,"72","79","67",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-24",,,,,,,,"74","86","64",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-25",,,,,,,,"71","81","63",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-26",,,,,,,,"71","82","59",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-27",,,,,,,,"72","86","59",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-28",,,,,,,,"74","88","60",,,,,,,,,,,,,,
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2024-07-29",,,,,,,,"74","84","65",,,,,,,,,,,,,,
